Country,State,Year,Emission_Type,Emission
United States,Delaware,1991,Fossil_CO2,7002.5498739984
United States,District of Columbia,1991,Fossil_CO2,292.43904654117
United States,Alabama,1992,Fossil_CO2,22147.333367615
United States,Florida,1992,Fossil_CO2,22013.579737805
United States,Georgia,1992,Fossil_CO2,27856.625842532
United States,Hawaii,1992,Fossil_CO2,2668.2047668053
United States,Idaho,1992,Fossil_CO2,2361.6751333216
United States,Illinois,1992,Fossil_CO2,43525.357954081
United States,Indiana,1992,Fossil_CO2,55112.35994074
United States,Iowa,1992,Fossil_CO2,22806.923479412
United States,Kansas,1992,Fossil_CO2,12836.866718307
United States,Kentucky,1992,Fossil_CO2,12157.961242254
United States,Louisiana,1992,Fossil_CO2,70830.031715629
United States,Alaska,1992,Fossil_CO2,10013.15814951
United States,Maine,1992,Fossil_CO2,2051.5102591136
United States,Maryland,1992,Fossil_CO2,7704.8235156782
United States,Massachusetts,1992,Fossil_CO2,6214.5197767142
United States,Michigan,1992,Fossil_CO2,27282.728580611
United States,Minnesota,1992,Fossil_CO2,12464.997791956
United States,Mississippi,1992,Fossil_CO2,45215.330386571
United States,Missouri,1992,Fossil_CO2,12314.799733468
United States,Montana,1992,Fossil_CO2,4697.4404805541
United States,Nebraska,1992,Fossil_CO2,5109.8948493607
United States,Nevada,1992,Fossil_CO2,2630.8709874814
United States,Arizona,1992,Fossil_CO2,7419.6620020727
United States,New Hampshire,1992,Fossil_CO2,1267.1362559275
United States,New Jersey,1992,Fossil_CO2,16853.892234896
United States,New Mexico,1992,Fossil_CO2,4447.475027058
United States,New York,1992,Fossil_CO2,17445.454838824
United States,North Carolina,1992,Fossil_CO2,11683.202313414
United States,North Dakota,1992,Fossil_CO2,24972.624809064
United States,Ohio,1992,Fossil_CO2,39452.810736603
United States,Oklahoma,1992,Fossil_CO2,27879.364368617
United States,Oregon,1992,Fossil_CO2,8349.5888644034
United States,Pennsylvania,1992,Fossil_CO2,31777.33908946
United States,Arkansas,1992,Fossil_CO2,16707.387278709
United States,Rhode Island,1992,Fossil_CO2,1638.6183087138
United States,South Carolina,1992,Fossil_CO2,9924.6846784605
United States,South Dakota,1992,Fossil_CO2,1370.05281789
United States,Tennessee,1992,Fossil_CO2,13717.967208805
United States,Texas,1992,Fossil_CO2,102024.40958479
United States,Utah,1992,Fossil_CO2,6173.2578717039
United States,Vermont,1992,Fossil_CO2,660.54469891052
United States,Virginia,1992,Fossil_CO2,13369.858383784
United States,Washington,1992,Fossil_CO2,20469.908279526
United States,West Virginia,1992,Fossil_CO2,5850.037788028
United States,California,1992,Fossil_CO2,94898.921219512
United States,Wisconsin,1992,Fossil_CO2,13534.5940746
United States,Wyoming,1992,Fossil_CO2,3394.2002911556
United States,Colorado,1992,Fossil_CO2,11940.744830227
United States,Connecticut,1992,Fossil_CO2,3148.8451665379
United States,Delaware,1992,Fossil_CO2,7142.1889152377
United States,District of Columbia,1992,Fossil_CO2,294.7550430395
United States,Alabama,1993,Fossil_CO2,22609.10297072
United States,Florida,1993,Fossil_CO2,22889.650956592
United States,Georgia,1993,Fossil_CO2,29032.958076739
United States,Hawaii,1993,Fossil_CO2,2625.8985942545
United States,Idaho,1993,Fossil_CO2,2538.8553806895
United States,Illinois,1993,Fossil_CO2,44051.838034653
United States,Indiana,1993,Fossil_CO2,55492.48894498
United States,Iowa,1993,Fossil_CO2,22989.238519168
United States,Kansas,1993,Fossil_CO2,13091.209521262
United States,Kentucky,1993,Fossil_CO2,12400.068721796
United States,Louisiana,1993,Fossil_CO2,70989.348877727
United States,Alaska,1993,Fossil_CO2,10002.743313166
United States,Maine,1993,Fossil_CO2,2149.33824828
United States,Maryland,1993,Fossil_CO2,7965.7499957658
United States,Massachusetts,1993,Fossil_CO2,6205.3686878687
United States,Michigan,1993,Fossil_CO2,27776.223986696
United States,Minnesota,1993,Fossil_CO2,12915.616812333
United States,Mississippi,1993,Fossil_CO2,46118.282268993
United States,Missouri,1993,Fossil_CO2,12598.446045834
United States,Montana,1993,Fossil_CO2,4744.5894332078
United States,Nebraska,1993,Fossil_CO2,5236.8939001357
United States,Nevada,1993,Fossil_CO2,3042.8165617774
United States,Arizona,1993,Fossil_CO2,7905.3329059043
United States,New Hampshire,1993,Fossil_CO2,1298.2886619065
United States,New Jersey,1993,Fossil_CO2,16991.670339634
United States,New Mexico,1993,Fossil_CO2,4622.4147863854
United States,New York,1993,Fossil_CO2,17432.584138725
United States,North Carolina,1993,Fossil_CO2,12575.777855877
United States,North Dakota,1993,Fossil_CO2,25659.135476286
United States,Ohio,1993,Fossil_CO2,40100.782227572
United States,Oklahoma,1993,Fossil_CO2,27968.646319366
United States,Oregon,1993,Fossil_CO2,8544.2896869193
United States,Pennsylvania,1993,Fossil_CO2,32183.907783093
United States,Arkansas,1993,Fossil_CO2,17087.019634573
United States,Rhode Island,1993,Fossil_CO2,1612.4294622944
United States,South Carolina,1993,Fossil_CO2,10304.573955662
United States,South Dakota,1993,Fossil_CO2,1480.5018391358
United States,Tennessee,1993,Fossil_CO2,14278.194206868
United States,Texas,1993,Fossil_CO2,104248.37457694
United States,Utah,1993,Fossil_CO2,6442.9054883792
United States,Vermont,1993,Fossil_CO2,686.58354302221
United States,Virginia,1993,Fossil_CO2,13911.496182249
United States,Washington,1993,Fossil_CO2,20577.508748903
United States,West Virginia,1993,Fossil_CO2,5846.3372722826
United States,California,1993,Fossil_CO2,96519.203926427
United States,Wisconsin,1993,Fossil_CO2,14443.067124375
United States,Wyoming,1993,Fossil_CO2,3408.2193722166
United States,Colorado,1993,Fossil_CO2,12221.076753613
United States,Connecticut,1993,Fossil_CO2,3163.3254176521
United States,Delaware,1993,Fossil_CO2,7223.3059195985
United States,District of Columbia,1993,Fossil_CO2,287.98689878347
United States,Alabama,1994,Fossil_CO2,23139.477645466
United States,Florida,1994,Fossil_CO2,22931.946947239
United States,Georgia,1994,Fossil_CO2,29015.477653224
United States,Hawaii,1994,Fossil_CO2,2638.2030762664
United States,Idaho,1994,Fossil_CO2,2541.543440011
United States,Illinois,1994,Fossil_CO2,44531.664262505
United States,Indiana,1994,Fossil_CO2,56782.411481966
United States,Iowa,1994,Fossil_CO2,23120.687421842
United States,Kansas,1994,Fossil_CO2,13345.122154933
United States,Kentucky,1994,Fossil_CO2,12311.185407209
United States,Louisiana,1994,Fossil_CO2,71139.280281617
United States,Alaska,1994,Fossil_CO2,10047.172870915
United States,Maine,1994,Fossil_CO2,2081.4571879647
United States,Maryland,1994,Fossil_CO2,8170.2150134689
United States,Massachusetts,1994,Fossil_CO2,6237.6525888711
United States,Michigan,1994,Fossil_CO2,28365.821206902
United States,Minnesota,1994,Fossil_CO2,13231.335824926
United States,Mississippi,1994,Fossil_CO2,47122.516195079
United States,Missouri,1994,Fossil_CO2,12757.847638173
United States,Montana,1994,Fossil_CO2,4733.2905971211
United States,Nebraska,1994,Fossil_CO2,5293.1172463509
United States,Nevada,1994,Fossil_CO2,3062.0596291959
United States,Arizona,1994,Fossil_CO2,7951.8944559208
United States,New Hampshire,1994,Fossil_CO2,1303.561949411
United States,New Jersey,1994,Fossil_CO2,17515.1159376
United States,New Mexico,1994,Fossil_CO2,4646.7684643224
United States,New York,1994,Fossil_CO2,17584.418798933
United States,North Carolina,1994,Fossil_CO2,12510.045543233
United States,North Dakota,1994,Fossil_CO2,25812.956365037
United States,Ohio,1994,Fossil_CO2,40798.091554388
United States,Oklahoma,1994,Fossil_CO2,28094.712645319
United States,Oregon,1994,Fossil_CO2,8489.5070772497
United States,Pennsylvania,1994,Fossil_CO2,33008.974979406
United States,Arkansas,1994,Fossil_CO2,17178.196613719
United States,Rhode Island,1994,Fossil_CO2,1622.5755856105
United States,South Carolina,1994,Fossil_CO2,10250.157003692
United States,South Dakota,1994,Fossil_CO2,1491.533064024
United States,Tennessee,1994,Fossil_CO2,14285.573452746
United States,Texas,1994,Fossil_CO2,104830.26451227
United States,Utah,1994,Fossil_CO2,6479.2721991963
United States,Vermont,1994,Fossil_CO2,687.60985862909
United States,Virginia,1994,Fossil_CO2,13872.644635795
United States,Washington,1994,Fossil_CO2,20449.035287338
United States,West Virginia,1994,Fossil_CO2,5906.3514050495
United States,California,1994,Fossil_CO2,97674.558081177
United States,Wisconsin,1994,Fossil_CO2,14393.267943415
United States,Wyoming,1994,Fossil_CO2,3476.780961166
United States,Colorado,1994,Fossil_CO2,12313.380816337
United States,Connecticut,1994,Fossil_CO2,3182.496495644
United States,Delaware,1994,Fossil_CO2,7252.914386368
United States,District of Columbia,1994,Fossil_CO2,289.94626189348
United States,Alabama,1995,Fossil_CO2,26303.509180774
United States,Florida,1995,Fossil_CO2,16610.838517227
United States,Georgia,1995,Fossil_CO2,28503.845033631
United States,Hawaii,1995,Fossil_CO2,2230.6293663418
United States,Idaho,1995,Fossil_CO2,2205.3095483232
United States,Illinois,1995,Fossil_CO2,37878.591555988
United States,Indiana,1995,Fossil_CO2,66348.282599181
United States,Iowa,1995,Fossil_CO2,22612.569087151
United States,Kansas,1995,Fossil_CO2,13012.072422016
United States,Kentucky,1995,Fossil_CO2,15459.963506827
United States,Louisiana,1995,Fossil_CO2,74601.993479622
United States,Alaska,1995,Fossil_CO2,10410.822945591
United States,Maine,1995,Fossil_CO2,3210.0126799293
United States,Maryland,1995,Fossil_CO2,5539.1335469117
United States,Massachusetts,1995,Fossil_CO2,3897.1245813134
United States,Michigan,1995,Fossil_CO2,27564.489276371
United States,Minnesota,1995,Fossil_CO2,11673.591997933
United States,Mississippi,1995,Fossil_CO2,58370.405799752
United States,Missouri,1995,Fossil_CO2,10922.23621374
United States,Montana,1995,Fossil_CO2,4647.03277222
United States,Nebraska,1995,Fossil_CO2,4360.7173739275
United States,Nevada,1995,Fossil_CO2,2144.5474141381
United States,Arizona,1995,Fossil_CO2,5095.9139376655
United States,New Hampshire,1995,Fossil_CO2,851.6450115472
United States,New Jersey,1995,Fossil_CO2,13424.146670628
United States,New Mexico,1995,Fossil_CO2,3598.2935572719
United States,New York,1995,Fossil_CO2,13782.41725925
United States,North Carolina,1995,Fossil_CO2,10763.339141201
United States,North Dakota,1995,Fossil_CO2,26826.216254387
United States,Ohio,1995,Fossil_CO2,39149.591259524
United States,Oklahoma,1995,Fossil_CO2,27352.231593287
United States,Oregon,1995,Fossil_CO2,8574.8014883955
United States,Pennsylvania,1995,Fossil_CO2,30675.550259259
United States,Arkansas,1995,Fossil_CO2,21492.621084853
United States,Rhode Island,1995,Fossil_CO2,957.13066172663
