Year,State_Name,Manufacturing_GDP
2009,New Jersey,202270.4
2009,New Mexico,20147.2
2009,New York,285016.5
2009,North Carolina,362905.7
2009,North Dakota,10844.4
2009,Ohio,331615.9
2009,Oklahoma,69461.3
2009,Oregon,94643.3
2009,Pennsylvania,310084.0
2009,Rhode Island,15931.2
2009,South Carolina,102596.4
2009,South Dakota,12789.5
2009,Tennessee,157576.3
2009,Texas,743085.3
2009,Utah,70770.3
2009,Vermont,10327.1
2009,Virginia,159713.4
2009,Washington,205960.0
2009,West Virginia,29507.7
2009,Wisconsin,182004.2
2009,Wyoming,9104.2
2010,Alabama,117264.4
2010,Alaska,5290.1
2010,Arizona,89285.4
2010,Arkansas,62195.2
2010,California,979371.4
2010,Colorado,84617.8
2010,Connecticut,122667.7
2010,Delaware,17838.0
2010,District of Columbia,1125.8000000000002
2010,Florida,153098.7
2010,Georgia,190414.9
2010,Hawaii,6161.8
2010,Idaho,26880.6
2010,Illinois,372483.9
2010,Indiana,353056.9
2010,Iowa,112238.1
2010,Kansas,86129.2
2010,Kentucky,119429.7
2010,Louisiana,263131.0
2010,Maine,23237.0
2010,Maryland,82753.1
2010,Massachusetts,183474.1
2010,Michigan,275130.2
2010,Minnesota,161614.59999999998
2010,Mississippi,61640.6
2010,Missouri,134525.6
2010,Montana,10110.7
2010,Nebraska,45974.0
2010,Nevada,21277.2
2010,New Hampshire,28607.2
2010,New Jersey,208962.19999999998
2010,New Mexico,17902.5
2010,New York,291662.7
2010,North Carolina,365470.4
2010,North Dakota,10770.5
2010,Ohio,356865.4
2010,Oklahoma,62993.399999999994
2010,Oregon,101867.2
2010,Pennsylvania,311608.1
2010,Rhode Island,16733.5
2010,South Carolina,110280.1
2010,South Dakota,13726.0
2010,Tennessee,158349.1
2010,Texas,826163.5
2010,Utah,75276.0
2010,Vermont,12475.7
2010,Virginia,169055.7
2010,Washington,220085.7
2010,West Virginia,27653.8
2010,Wisconsin,199183.3
2010,Wyoming,9085.2
2011,Alabama,129124.2
2011,Alaska,4173.6
2011,Arizona,94244.8
2011,Arkansas,64646.7
2011,California,931199.5
2011,Colorado,84991.0
2011,Connecticut,117594.8
2011,Delaware,17450.5
2011,District of Columbia,1178.8
2011,Florida,151635.1
2011,Georgia,197723.9
2011,Hawaii,5801.200000000001
2011,Idaho,27523.4
2011,Illinois,395727.3
2011,Indiana,346385.1
2011,Iowa,109025.1
2011,Kansas,94091.6
2011,Kentucky,120110.4
2011,Louisiana,215371.4
2011,Maine,22275.0
2011,Maryland,81216.5
2011,Massachusetts,184867.80000000002
2011,Michigan,302825.2
2011,Minnesota,169919.9
2011,Mississippi,61358.2
2011,Missouri,130247.9
2011,Montana,11067.2
2011,Nebraska,50841.2
2011,Nevada,21811.0
2011,New Hampshire,29943.7
2011,New Jersey,186627.5
2011,New Mexico,15380.6
2011,New York,267389.5
2011,North Carolina,367203.3
2011,North Dakota,11466.3
2011,Ohio,381892.4
2011,Oklahoma,67336.8
2011,Oregon,112154.0
2011,Pennsylvania,306338.2
2011,Rhode Island,16342.2
2011,South Carolina,116826.5
2011,South Dakota,15728.7
2011,Tennessee,165294.1
2011,Texas,859389.5
2011,Utah,74788.3
2011,Vermont,13107.4
2011,Virginia,166641.6
2011,Washington,221534.3
2011,West Virginia,27845.6
2011,Wisconsin,209099.4
2011,Wyoming,8872.5
2012,Alabama,128234.7
2012,Alaska,3968.2
2012,Arizona,98021.0
2012,Arkansas,61004.3
2012,California,951871.2
2012,Colorado,83474.9
2012,Connecticut,116306.8
2012,Delaware,15355.4
2012,District of Columbia,911.5
2012,Florida,147403.2
2012,Georgia,193971.2
2012,Hawaii,5730.4
2012,Idaho,28012.8
2012,Illinois,414860.8
2012,Indiana,331232.1
2012,Iowa,118274.7
2012,Kansas,92421.1
2012,Kentucky,131269.7
2012,Louisiana,209421.5
2012,Maine,21787.1
2012,Maryland,72818.9
2012,Massachusetts,186709.5
2012,Michigan,313295.4
2012,Minnesota,170044.0
2012,Mississippi,65893.1
2012,Missouri,139822.0
2012,Montana,10471.5
2012,Nebraska,51109.1
2012,Nevada,24173.3
2012,New Hampshire,29128.8
2012,New Jersey,174108.1
2012,New Mexico,15081.0
2012,New York,256409.1
2012,North Carolina,337817.8
2012,North Dakota,12998.4
2012,Ohio,368231.5
2012,Oklahoma,71264.6
2012,Oregon,107134.9
2012,Pennsylvania,302720.7
2012,Rhode Island,16097.2
2012,South Carolina,116119.8
2012,South Dakota,15376.3
2012,Tennessee,174471.2
2012,Texas,829278.6
2012,Utah,64473.399999999994
2012,Vermont,13590.2
2012,Virginia,161439.6
2012,Washington,231122.1
2012,West Virginia,27360.3
2012,Wisconsin,216492.9
2012,Wyoming,10051.0
2013,Alabama,135256.4
2013,Alaska,5419.3
2013,Arizona,88449.7
2013,Arkansas,65979.8
2013,California,1008126.9
2013,Colorado,84976.5
2013,Connecticut,119048.0
2013,Delaware,15819.099999999999
2013,District of Columbia,946.0
2013,Florida,159616.9
2013,Georgia,196426.0
2013,Hawaii,6381.1
2013,Idaho,27628.1
2013,Illinois,388267.3
2013,Indiana,352397.9
2013,Iowa,115585.29999999999
2013,Kansas,78224.5
2013,Kentucky,138290.9
2013,Louisiana,186703.6
2013,Maine,21020.7
2013,Maryland,77072.1
2013,Massachusetts,184821.2
2013,Michigan,333142.2
2013,Minnesota,176851.6
2013,Mississippi,60617.0
2013,Missouri,139706.8
2013,Montana,11094.0
2013,Nebraska,51782.7
2013,Nevada,24562.0
2013,New Hampshire,31635.4
2013,New Jersey,174098.2
2013,New Mexico,13277.7
2013,New York,256465.3
2013,North Carolina,362186.5
2013,North Dakota,13320.3
2013,Ohio,377947.5
2013,Oklahoma,68412.4
2013,Oregon,109409.8
2013,Pennsylvania,319564.9
2013,Rhode Island,17572.4
2013,South Carolina,115852.4
2013,South Dakota,15546.1
2013,Tennessee,182192.2
2013,Texas,920471.0
2013,Utah,66658.0
2013,Vermont,10864.099999999999
2013,Virginia,162960.40000000002
2013,Washington,237753.3
2013,West Virginia,28873.4
2013,Wisconsin,219337.4
2013,Wyoming,8142.8
2014,Alabama,131079.19999999998
2014,Alaska,6515.0
2014,Arizona,95243.0
2014,Arkansas,68336.2
2014,California,1060841.3
2014,Colorado,88578.7
2014,Connecticut,113533.1
2014,Delaware,16099.8
2014,District of Columbia,830.7
2014,Florida,169142.0
2014,Georgia,201951.1
2014,Hawaii,6909.7
2014,Idaho,28234.5
2014,Illinois,398758.0
2014,Indiana,365358.9
2014,Iowa,127101.9
2014,Kansas,86928.3
2014,Kentucky,136129.5
2014,Louisiana,210273.3
2014,Maine,21162.4
2014,Maryland,76295.4
2014,Massachusetts,192952.1
2014,Michigan,332102.3
2014,Minnesota,189039.0
2014,Mississippi,63070.4
2014,Missouri,140358.5
2014,Montana,12882.8
2014,Nebraska,49454.0
2014,Nevada,24234.9
